CIBERSORT	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
AC019084.7	0	0	0	0	0	0	0	0	0	0	0.156246	0
AC019097.7	2.23038	6.34984	0.866949	4.03253	0.444103	4.12519	5.97657	3.42911	4.31409	6.36121	3.3841	3.19396
AC019109.1	0.0132029	0	0	0	0.0565045	0	0	0	0	0	0	0
AC019118.4	0	0	0	0	0	0	0	0	0	0.116843	0	0
AC019172.2	0	0.0393322	0	0	0	0	0	0	0	0	0	0
AC019181.2	0	0	0	0	0	0.0883999	0	0	0	0	0	0
AC019181.3	0.28539	0.824425	0.33352	0.152368	0	0	0.451804	0	0.56538	0	0	0.326492
AC019185.4	0	0	0	0	0	0	0	0	0	0	0	0.0701273
AC019196.1	0.951301	0	1.18667	0	0	0.925463	0	0	0	0.946541	0	2.54345
AC019198.1	0	0	0	0	0	0	0.824721	0	0	0	0	0
AC019206.1	0.161469	0.205368	0.671522	1.16098	0	0.240044	0.354416	0.809814	0.214003	1.01572	0.599123	0.625388
AC019349.5	0	0	0	0	0	0	0	0.407018	0	0	0	0
AC020550.7	0.518892	1.89133	2.7112	4.91385	0.986101	0.751377	9.23688	3.14279	3.53363	1.98837	3.51258	2.6962
AC020606.1	0	1.25386	0	1.16574	0.969976	0	0	0	1.32117	0	0	0
AC020915.1	0	0	0.732969	0	2.13292	0	1.58729	0	0.831858	0	0.657225	0
AC020931.1	0	1.19084	0	0.969542	0	0	0	0	0	0	0.871544	1.85356
AC020951.1	0	0.0216665	0	0.0193595	0.0170336	0.149271	0.0156129	0.0194592	0	0.0215956	0	0.0204071
AC020956.3	0	0	0	0.040694	0	0	0.0478988	0.019514	0	0	0.0161896	0
AC021021.1	0	0	0	0	0.0200568	0	0.0387766	0.0237297	0	0.0772941	0	0.119751
AC021021.2	0	0	0	0	0	0	0	0	0	0.00746635	0	0
AC021134.1	0	0	0	0	0.698488	0	0	0.864268	0	0	1.37994	0
AC021188.4	0	0	0	0	0	0	0	0	0	0	0	0.0349589
AC021192.1	0.651216	0.465979	0	0	0	0	0.412361	0	0	0	0	0.995024
AC021218.2	0.00946303	0	0	0	0	0	0	0	0	0	0	0.0119301
AC021224.1	1.49939	0.975287	0.341951	1.09958	0.317742	0.331772	0.602167	0.228005	0.915065	0.44378	0.868584	0.492504
AC021231.1	0	0	0	0.893428	0	0	0	0	0	0.927908	1.9503	0
AC021914.1	6.42128	2.52177	7.87942	2.45693	1.9722	4.79003	4.81087	9.07481	3.99092	8.18742	3.89631	15.9789
AC022007.5	0.6810305	0.3659068	0.5334311	0.9153136	0.2594619	0.6510932	0.4626308	0.339163	0.223143	0.0580551	0.7602478	0.3387279
AC022120.1	0	0	0	0	0	0	0	1.22014	0	0	0	0
AC022154.7	0.129866	0.6228211	0.365874	0.9728	0.557017	0.750135	0.3768132	0.272613	0.238356	0.448807	0.402288	0.790657
AC022173.2	0.748212	1.21453	0.74842	0.836564	0.690161	0.43762	0.365227	1.36321	0.858495	1.11941	0.961073	0.590272
AC022182.1	0.316788	0	0.0724131	0.1686096	0.1712722	0.150177	0.50056	0.0424048	0	0.144395	0.221967	0.24067
AC022182.2	1.00406	1.52448	0.874029	1.96564	0.708304	1.25987	1.24506	1.28398	0.672135	1.55709	1.58503	1.04076
AC022182.3	0.116693	0.285456	0.251108	0.284594	0.0958191	0.630709	0.424586	0.386352	0.356191	0.656187	0.431916	0.469735
AC022201.4	0.187812	0	0.0596431	0.213233	0.0434682	0.130939	0.0461188	0.286435	0.177481	0	0.183631	0.114085
AC022201.5	0	0	0	0	0	0.00192202	0.108821	0	0	0	0	0
AC022210.2	0.114324	0.093564	0.0456898	0	0.0989319	0	0.201819	0	0.0929488	0	0.0455622	0.0280379
AC022384.1	0	0	0	0	0	0	0	0	2.66061	0	0	0
AC022395.1	0	0	0	0	0	0	0	0	0	0	1.83993	0
AC022405.1	0.226609	0.153274	0.0506856	0.284047	0.0750878	0.116046	0.387837	0.383693	0.272699	0.428369	0.366654	0.0982859
AC022431.3	0	0	0	0.119543	0	0	0	0.198206	0	0	0	0
AC022486.1	0	0.00362499	0	0	0	0	0	0	0	0	0	0
AC022816.2	0	0	0	0	0.034786	0	0	0	0	0	0	0
AC022819.3	0.00583049	0.0144872	0	0	0	0	0	0	0.0143938	0	0	0
AC023115.2	0	0	0	0	0	0.123481	0	0.0491694	0	0	0.0828205	0
AC023157.1	0	0	1.10588	0	0	1.50275	0	0	0	0	0	0
AC023271.1	0.320836	0.156806	0.265092	0.0982875	0.0804111	0.119757	0.116794	0	0	0.208686	0.122628	0.409231
AC023310.1	0.611551	0.765538	0	0	0	0	0.298606	0	0	0	0	0
AC023347.1	0	0	0	0	0	0	0	0	0	0	0.0659219	0
AC023449.2	0	0	0	0	0	0	0.618541	0	0	0	0	0
AC023469.1	0	0	0.107203	0.102372	0	0	0	0.0969272	0.107181	0	0	0.323126
AC023590.1	1.680451	0.637597	0.105661	1.149663	0.179291	1.554563	0.650478	0.416842	0.2275465	0.4758501	0.8611604	0.9954294
AC023798.1	0	0	0	0	0	1.50275	0.865957	0	0	0	0	0
AC023992.1	0	0	0	0	0.838186	0	0	0	0	0	0.871544	0
AC024028.1	0	0	0	0	0.0745379	0	0	0	0	0	0	0
AC024067.1	0	0	0	0.293364	0	0	0.577305	0.972301	0	0	0	0
AC024084.1	0	0	0.105349	0	0	0	0	0	0	0	0	0
AC024158.1	0	0	0	0	0	0	0.962175	0	0	0	0	0
AC024475.1	0	0	0	0	0	0	0	0	0	0	0.919963	0
AC024560.3	14.237336	16.4217704	8.321119	19.861139	11.3871975	17.069403	17.9585821	14.779069	13.107022	19.063098	16.6387156	10.097978
AC024568.1	0	0	0	0	0	1.20472	0	0	0	0	0	0
AC024592.12	55.847601	41.1289707	46.502528	58.584917	35.106731	45.51756	37.614509	29.038766	31.227884	49.074726	36.815771	50.870288
AC024592.9	0	0.0420222	0.0201102	0	0	0	0.01542	0	0	0	0.0159782	0
AC024651.1	0	1.07175	0	0	0	2.32187	0	1.03712	0	0	0	0
AC024896.1	0	0	0	0	0	1.07416	0	0	0	0	0	0
AC024937.1	0	0	0	0	0	0	0	0	0	0	0	1.22915
AC024937.4	0.0254817	0	0	0.0770894	0	0	0	0	0.144927	0	0	0
AC024937.6	0.0766656	0.628273	0.199893	0.406809	0.330933	0.717695	0.503662	0.124146	0.508959	0.910929	0.631705	0.386478
AC025048.1	0	0	7.38334	4.37653	1.12868	0.578861	4.23498	3.93056	5.10166	4.88526	3.89347	0
AC025165.8	0	0	0	0.092595	0	0	0.0776643	0	0.008997	0	0	0
AC025166.1	0	0	0	1.13333	0	0	0	0	0	0	0.900175	0
AC025171.1	0.0149548	0	0	0.0450859	0.0987943	0.0148196	0.00896552	0.213839	0.0480493	0.0301705	0.0149968	0.02393054
AC025263.3	0.198962	0	0	0	0	0	0	0	0	0	0	0
AC025280.1	0	0	1.16732	0	0	0.93437	0.865957	0	0	0	0	0
AC025284.1	0	0	0	0	0	0	0	1.09171	0	0	0	0
AC025335.1	0.0365684	0.37	0.0971356	0.161725	0.0902343	0.163476	0.250745	0.142396	0.125133	0.0873683	0.203592	0.236158
AC025442.3	0	0	0	0	0	0	0	0	0	0.0587809	0	0
AC025674.1	0	1.61904	0	0	0	0	0	0.98962	0	0	0	0
AC025678.1	0.568157	0	0	0.743797	0	0	0	0	0	0	0	0
AC025918.2	0	0	0	0	0	0	0	0.117189	0	0.122093	0	0.109401
AC026150.1	0.4077	0	0.538764	0.818975	0.614809	1.54829	0	0	0	0.370746	0	0.154782
AC026150.2	0	0	0.404073	4.09488	0.615762	0	0.895818	0.942837	0	0	0	0
AC026150.6	1.51322	1.56087	1.67288	3.79836	1.55128	2.88311	3.16005	3.49243	1.87812	3.12565	1.94912	1.42848
AC026150.8	0	0	0.104643	0	0	0.192976	0.32237	0	0	0.428992	0	0
AC026188.1	0	0	0	0.0839464	0	0	0	0	0	0.097106	0	0
AC026202.3	0	0	0	0	0	0	0	0.0741665	0	0	0	0
AC026254.1	0	0	0	0	0	0	0	0	0	0	1.94816	0
AC026271.5	0	0	0	0	0	0	0	0.0419242	0	0	0	0
AC026318.1	0	0	0	0	3.53737	2.35057	0	0	0	0	0	0
AC026366.1	0.75154	0	0	0.799919	0	0	0	0	0	2.3334	0	0
AC026367.1	0	0	0	0	0	0.68481	0.367128	0	0	0	0	0
AC026471.6	0	0.19199	0	0.042523	0	0	0	0	0.0346209	0.141072	0.0905565	0
AC026700.1	0	0	0	0	0	0	0.305946	0	0	0	0	0
AC026992.1	4.28086	2.52177	0	6.14232	2.9583	1.50275	1.73191	9.07481	0	1.36457	2.92223	5.49882
AC027119.1	0	0	0	0	0	0	0	0	0	0.23432	0	0
AC027319.3	0	0	0	0	0	0	0	0	0	0	0	2.4583
AC027320.1	0	1.26089	2.84273	1.1562	0	3.00551	0	0	0	0	0	0
AC027347.1	0	0	0	0	0	0	1.92435	0	0	0	0	0
AC027348.1	0	0	0.200535	0	1.02553	2.2204	0	1.2964	0	0	0	0
AC027506.1	0	0	0	0	0	0	0	0	0	0	0.0194922	0
AC027601.1	0.1702638	0.063422	0.0414698	0.0371559	0.0892612	0.0970129	0.0490392	0.0370161	0.2047283	0.0395531	0.0651041	0.0628394
AC027612.1	0	0	0	0.0970237	0.0181279	0	0	0.0385975	0	0	0	0
AC027612.2	0	0	0	0	0	0	0	0	0	0	0	0.316599
AC027612.3	0.2986065	0.226013	0.0369965	0.101735	0.0856954	0.0421948	0.191375	0.168238	0.143618	0.112882	0	0.2353453
AC027612.4	0.0201647	0	0	0.00690129	0	0.00917003	0.111771	0.0224669	0.0377611	0.0396388	0	0.014769
AC027612.6	0.862729	0.610958	0	0.299547	0.0166995	0.0334682	0.523583	1.0355315	0.324943	0	0.4980024	0
AC034110.1	0.0402653	0	0	0.0463635	0.0528442	0	0	0	0	0	0	0
AC034187.2	0	0	0.0938925	0.334394	0	0	0	0.092479	0.0827119	0.191187	0	0
AC034220.3	0.2112191	0.319508	0.241832	0.1947425	0.0671812	0.134518	0.127798	0.258918	0.1856412	0.1984374	0.1328184	0.1165035
AC034228.2	0	0	0	0	0	0	0.0932107	0	0	0	0	0
AC034228.4	0.104005	0	0	0	0	0.0749125	0.10325	0	0.131229	0	0	0
AC034243.1	0	0	0	0.0527212	0	0	0	0	0	0	0	0
AC035144.1	0	0	0.583661	0	0	0	0	0	0	0	0	0
AC037445.1	0	0	0	0	0	0.198037	0.468085	0	0.194959	0	0	0
AC037459.4	0	0.2789805	0.0632141	0.0263088	0.139303	0	0	0	0	0.0812173	0.064605	0.150753
AC051649.12	0	0	0.0822413	0	0	0.0949347	0	0	0	0	0	0.322522
AC053503.12	0	0.016055	0	0	0	0	0	0	0	0	0	0
AC053503.6	0	0	0	0	0.0368403	0	0	0	0	0	0	0
AC055714.1	0.634201	0	0	0	1.24176	0	0	1.53648	0.837601	0.799921	0	0.83582
AC055733.1	0	0	0	0	0.072436	0	0	0	0	0	0	0
AC055736.1	0	0	0	0	0.618101	0	0	0	0	0	0	0.280547
AC055758.1	0	0	0	0	0	0	0	1.09171	0	0	0	0
AC055764.1	1.54302	2.33231	2.68007	1.96469	1.08022	3.26031	2.55398	1.9444	2.67953	5.15504	2.95528	2.92157
AC055876.1	4.92278e-08	4.50251e-06	2.67809	3.37969e-07	3.24466e-05	3.14477e-05	2.65023	5.23449	0	5.77296	1.37165e-08	3.39217e-07
AC055876.2	0	0	0	0	0	0	0.298606	2.35709	0	0.980395	0	0
AC058791.1	0.0954725	0.0128326	0.0628117	0.075376	0.20459012356	0.3970505	0.06476057	0.2291154	0.122471	0.2119692	0.110265	0.096868
AC060226.1	0	0	0	0	0	0	0	0	1.33031	0	0	0
AC060834.2	0	0.0732201	0	0.0109598	0.025076	0.0333019	0.0561764	0.0453123	0.0256497	0	0	0.0917281
AC061992.2	0	0	0	0	0	0	0	0.044371	0	0	0	0
AC062017.1	1.29846	0.781486	1.07203	0.307116	0.356675	0.135168	1.04236	0.389529	0.323075	1.40592	1.51304	1.07709
AC062028.1	0.1313153	0.0707192	0	0	0.0301473	0	0.0769847	0	0.020987	0.0220532	0.056458	0
AC062029.1	0	0	0	0	0	0	0.000984452	0.0196604	0	0.0110428	0.0336298	0.0104862
AC063957.1	0	0	0	0.755977	0	0	0	0	0	0	0	0
AC063976.7	0.0348269	0	0	0.0238315	0	0.0259306	0	0	0	0	0.00965321	0
AC064834.1	0	0	0	0	0.0900827	0	0	0	0	0	0	0
AC064834.3	0	0	0	0	0	0	0	0	0	0.283767	0	0
AC064836.3	0	0	0	0	0	0	0	0	0	0.0941484	0.0468466	0.0284803
AC064848.1	0	0	0	0	0.931318	0	0	0	0	0	0	0
AC064850.4	0.0649819	0.252164	0.0211908	0.116738	0.146578	0.290394	0.351559	0.27656	0.0824671	0.302051	0.149337	0.0829109
AC064852.4	9.05059	3.92875	1.38374	4.67158	3.78099	5.15791	2.60109	3.60059	3.0906	3.67281	3.85012	1.65454
AC064853.2	0.0363508	0	0	0	0	0	0.0368645	0	0	0	0	0.0405194
AC064853.3	0	0	0	0	0	0	0	0	0.0945385	0	0	0
AC064874.1	0.664987	0.382769	1.36187	0.354152	0.588201	4.2578	5.12505	1.81244	2.85435	1.523182	3.34225	2.30042
AC066615.1	6.33833e-07	0	0.000497541	3.33916e-05	2.93617e-08	0.00171494	12.2041	0.164938	0.000280079	0.0299001	0	0
AC066692.1	0.744497	0.931959	0	0	0.372182	0	0	0	0	0	0	0
AC067945.2	0	0.11347	0	0	0	0	0	0	0	0	0	0
AC067945.3	10.9728	5.35015	7.44134	7.96772	11.6619	5.78047	4.28324	30.3221	7.28274	5.7732	9.28622	15.2862
AC067945.4	3.39993	3.1659	2.82263	6.87042	2.83955	2.89415	3.93267	2.62995	4.84724	4.59465	4.80818	2.26401
AC067969.1	0	0.0993777	0	0	0	0	0.0730147	0.234464	0	0	0.336493	0
AC068056.1	0	0	0	0.749618	0	1.59668	0	1.03405	0	0	0	0
AC068134.10	0.464786	0.386984	0.657897	0.567348	0.414986	0.710578	0.365764	0.560368	0.666422	0.34718	0.754404	0.338055
AC068134.8	0.250039	0.307824	0	0	0	0	0.612203	0.129209	0.0626965	0.0577036	0.173724	0.177684
AC068152.1	0	0	0	0	0	0.555366	0	0	0	0	0	0
AC068207.1	0	0	1.05059	0	0	0	0	0	0	0	0	0
AC068282.3	0.0170337	0	0.0338649	0	0.00839305	0	0.0287468	0.0103011	0	0	0.017565	0.0103307
AC068286.1	0	0	0	0	0	0	0	0.0968938	0.100386	0	0	0
AC068312.1	0	0	0	3.4686	0	0	0	0	0	0	0	0
AC068491.2	0.0429138	0	0	0	0.0420535	0	0.176427	0	0	0	0	0
AC068491.3	0.352154	0.213108	0.327817	0.7175758	0.287833	0.354318	0.366337	0.145152	0.374039	0.38461	0.176296	0.280841
AC068499.10	0	0	0	0	0	0	0.0200444	0.0248844	0	0	0	0
AC068522.4	4.24318	1.60587	3.63569	2.75455	2.53226	0.344655	0.883155	2.87208	2.42195	1.74815	2.04686	1.9309
AC068533.1	2.005	2.64689	0	4.27292	0.142474	0	0	0	0	0	0	0
AC068533.7	5.55935	7.23608	3.34349	7.03877	5.27115	2.99152	3.40307	5.80286	2.42359	4.9927	6.28923	7.40493
AC068580.5	0	0	0	0	0	0	0.111156	0	0	0	0	0
AC068580.6	0.0627732	0.0777753	0.0749866	0.122429	0.058165	0.0297607	0.0708621	0.11154	0.0526522	0.0271181	0.0252979	0.0796531
AC068587.1	0.744768	0	0	1.11155	1.84256	0	0.36523	4.44481	0	4.63954	0	0.803674
AC068587.2	16.6785	58.9347	12.4489	93.834	13.4113	42.8147	83.6809	35.5678	22.9438	28.079	44.1279	22.2415
AC068641.1	1.00726	0	0	0	0	0	0	0	0	0	0	0
AC068657.2	2.37251	1.6878	0.688911	3.17744	2.77498	2.81205	2.52633	5.36442	2.93079	0.191959	3.87275	1.54143
AC068669.1	0	0	0	0.893428	0	1.21652	0	1.03712	0	0	0	0
AC068706.2	1.91473	0	0	0	0	1.21392	0	0	0	0	0	0
AC068724.1	3.56738	0	0	0	0	0	0	0	0	0	0	0
AC068724.2	0	0	0	0.893428	0	0	0	0	0	0	0	0
AC068754.1	0	0	0	0	0	0	1.19442	0	0	0	0	0
AC068831.10	0.434225	0.371131	0.227939	0.954273	0.363007	0.34955	0.401562	0.440768	0.602915	0.417497	0.309646	0.447179
AC068831.6	0	0.0124455	0	0.0321789	0.00950085	0	0.0365648	0	0	0	0.00923766	0.0113408
AC069063.2	0	0	0.110583	0	0.0435891	0	0.0765521	0	0	0	0	0
AC069082.1	0	0	0	0	0	0	0	0	0	1.10465	0	0
AC069154.4	0	0	0	0	0	0.203124	0.214362	0.0865947	0	0.185307	0	0
AC069157.2	0	0	0	0.935972	0.798272	0	0	0	0	0	0	0
AC069213.1	1.85191	1.30433	1.8783	6.23616	0.859568	1.54908	1.19647	0.907409	1.24865	12.4469	4.54267	2.90339
AC069213.4	0.518892	0.957991	0.240135	2.85498	0.36642	0.4188	1.08245	0.505913	0.544945	0.26361	0.65861	0.236107
AC069257.6	0	0.691453	0	0.677773	0	0	0	1.38283	0.753841	0	0	0
AC069257.8	2.14043	0.649547	0	3.305512	0.5976365	1.54829	1.194425	0	0	0.800641	0.772238	0.696517
AC069277.2	0	0.204126	0	0.465638	0.0378897	0	0.155302	0.197634	0.103892	0.105522	0	0.0921207
AC069280.1	0	0	0	0.854583	0	0	0	0	0	0	0	0
AC069282.6	0	0	0	0.101842	0.266091	0	0	0	0	0	0.334532	0
AC069363.1	0.0557399	0.0726507	0	0	0	0.098487	0	0	0	0	0	0
AC069368.3	143.150472	83.215556	102.433509	98.393257	66.647782	68.1992	53.58923	142.873851	61.383711	62.072843	110.5442259	106.822415
AC069513.4	0	0	0	0	0	0	0	0	0	0.0197125	0	0.0177159
AC072062.1	0	0	0	0.0244714	0	0	0.0276191	0	0	0	0.0410014	0.0437693
AC073043.1	0	0	0	0.0499398	0	0.0761486	0.1134884	0.0947143	0	0	0	0
AC073046.25	0.14983	0.0884548	0	0	0.266658	0	0	0.176808	0	0	0.138527	0.168627
AC073052.1	0	0	0	0	0	0	0	0	0	0	0	0.0573815
AC073055.2	0	0	0	0	0	0	0.130088	0	0	0	0	0
AC073063.10	5.65963	4.12426	3.56908	6.90335	3.69979	3.38367	3.11334	3.2169	4.53761	6.01413	5.36745	2.28896
AC073065.3	0.0149098	0	0.0168063	0.000127353	0.0388153	0.018692	0	0.0117625	0.0141421	0	0.04792	0
AC073069.2	0.16308	0	0.107203	0.102372	0.179291	0	0.0805542	0	0.108207	0.353264	0.0844864	0.107709
AC073071.1	0	0	0	0	0	0	0	0	0	0	0.0857996	0
AC073072.1	0	0	0	0	0	0	0	0	1.19027	0	0.871544	0
AC073072.5	0	0	0	0	0.0429904	0	0	0	0	0	0	0
AC073072.7	0	0	0	0	0	0	0.0708925	0	0	0	0	0
AC073089.1	0	0	0	0	0	0	0	0.496643	0	0	0	0
AC073109.2	0	0	0	0	0	0	0	0	0	0	0	0.02552
AC073115.6	0	0	0	0	0.0651125	0	0	0	0	0	0	0
AC073115.7	0	0	0	0	0.0631507	0.348248	0	0	0	0.0850266	0	0.14425
AC073127.1	0	0	0	3.4686	0.91986	0	0	1.27611	0	0	0.974078	0
AC073130.1	0.0147199	0	0.019833	0.102908	0.1792915	0.0914232	0	0.0726148	0	0.1183556	0.0849197	0.0192976
AC073130.3	0	0	0.153551	0.0696608	0.1710113	0	0	0	0.0777408	0	0	0.1877613
AC073133.1	0	0	0	0	0	0	0	0	0.0120845	0	0	0.0119906
AC073137.1	0	0	0	0	0	0	0	0	0	0	0	1.22915
AC073150.6	0.103665	0	0	0.0135219	0	0	0.125703	0.16476	0.0758829	0.124364	0	0.0290537
AC073215.1	0	0	0	0	0	0	0	3.95094	0	0	0	2.32172
AC073254.1	0	0.0420745	0	0	0	0	0	0	0	0	0	0
AC073257.1	0.0601045	0	0	0.130397	0.0571998	0	0	0	0	0.159948	0.114206	0.0679113
AC073264.10	0	0	0.107753	0.0983325	0.081929	0	0	0	0	0.108284	0.414858	0
AC073264.6	0	0	0	0.51723	0.373474	0	0	0	0	0	0.399362	0
AC073283.4	0.37055	0.0623299	0.0800003	0.301384	0.370646	0.0846305	0.0652476	0.379515	0.106737	0.0679602	0.161514	0.352761
AC073283.7	0	0	0	0	0.0268664	0	0.0504502	0	0	0	0	0
AC073310.4	0	0.0498643	0	0	0	0	0	0.0481304	0	0	0	0
AC073325.2	0	0	0.657643	0	0	0	0	1.11755	0	0	0	0
AC073330.1	0	0	0	1.58427	0	0	0	0	0	0	0	0
AC073333.1	30.3477	25.4077	26.3705	36.2242	24.8367	21.0189	20.8823	33.6714	20.4545	28.3966	34.3798	26.4967
AC073333.8	0.504734	0	0.297475	0.480942	0.58332	0.267159	0.229855	0.221944	0	0.18168	0.181896	0.229583
AC073342.12	0.128921	0.0556707	0.281671	0	0.217858	0.0631	0	0.155472	0	0.312011	0.0131349	0.0528292
AC073343.13	0	0	0	0	0	1.07566	0.147605	0.0813348	0	0	0.3250468	0
AC073370.1	0	0	0	0.5781	0.0211427	0	0	0	1.16159	0	0	0
AC073410.1	0	0	0	0	0	0	0.0445613	0.0531355	0	0	0	0
AC073464.11	0	0	0	0.100649	0	0	0	0	0	0	0	0
AC073464.4	0	0	0	0	0	0.123014	0.0780534	0	0	0	0	0.0512512
AC073465.1	0	0	0	0.059582	0	0	0.0514451	0	0	0	0	0
AC073508.1	0	0	0	0	0	1.88079	0	0	0	0	0	0
AC073621.2	0	0	0	0	0	0	0.0382516	0	0	0	0	0
AC073626.2	0	0	0	0.0870785	0	0	0	0	0	0	0	0
AC073648.1	0.850717	0	0	0	0	0	3.90761	0	0	0	0	0
AC073657.1	0	0	0	0	0	0	0	0.428337	0	0	0	0
AC073842.19	0	0	0.274664	0	0	0	0.124598	0.144045	0	0	0	0
AC073850.6	0	0	0	0	0	0	0.233811	0	0	0	0	0
AC073869.1	0	0.157171210081	0	0	0.054485073526	0	1.5930927837	0	0	0	0.04093130062295	0
AC073869.2	0.0260659	0.0165528	0	0	0	0	0.101039	0	0	0	0.0878633	0
AC073869.20	0.0153669	0	0	0	0	0	0.283728	0.110748	0.189998	0.0805541	0.0314305	0
AC073873.1	0	0	0	0	0	0	0	0	0	0.927908	0	0
AC073957.15	0	0	0	0	0	0	0	0.0466197	0	0	0	0
AC073973.1	0	0	0	0	0.931318	1.50275	0	0	0	0	0	0
AC074008.1	0	0	0	0.0736786	0	0	0.0658532	0	0	0	0	0
AC074011.2	0	0	0	0	0.194085	0	0	0.0823247	0	0	0	0
AC074019.2	0	0	0	0	0	0	0.0195231	0	0	0	0	0
AC074051.1	0	0	0	0	0.578059	0.912386	0	0	0	0	1.14202	1.60735
AC074117.10	0.453112	0.74828	0.605807	1.258608	0.676708	0.489072	0.461477	0.553898	0.424072	2.240243	0.83117	0.753427
AC074117.13	0	0	0	0	0	0.136614	0	0.109748	0	0	0	0
AC074212.5	0	0	0	0	0	0	0.0166096	0.03667068	0	0	0	0
AC074212.6	0	0	0	0	0	0	0.0207692	0	0	0.0284322	0	0
AC074286.1	0.0994007	0.08128897	0	0.1057082031686	0.50871	0.1851865	0.294781	0.199620970001	0	0.442786	0.2388978	0.0917164
AC074289.1	0.8776087	0.4885101	0.171982	0.969105	0.119678	0.199416	0.2746446	0.5787616	0.28881	0.138666	0.735434	0.6451177
AC074290.1	0	0	0	0	0	0	0	0	0.98327	6.49536	0	0
AC074338.4	0	0.56408	0	0	0.44115	0	4.58448	3.92424	5.6538	1.18963	0.447549	0.597015
AC074338.5	0	0	0	0.65518	0	0	0	0	0	0	0.534172	0
AC074366.3	0	0	0	0.217199	0.0991912	0.136614	0.0691025	0.0839086	0	0.0490595	0.4808455	0.0566477
AC074367.1	0.215541	0.0919963	0.136276	0.128221	0.140058	0	0.240765	0.131177	0.0448416	0.141495	0.176133	0.177907
AC074389.1	0	0	0	1.1562	0	0	0	0	0	0	0	0
AC074389.5	0	0	0	0	0.0896455	0	0	0	0	0	0	0
AC074389.6	0.107754	0.0823064	0	0	0	0	0.071693	0.0374281	0	0.0245674	0	0
AC074391.1	0.02350922356	0	0	0	0	0	0.0223102	0	0.0290635	0	0	0
AC078819.1	0	0	0	0.544501	0	0	0	0.110861	0	0	0	0
AC078852.1	0	0	0	0	0	0	0	0.104214	0	0	0.0416216	0
AC078883.3	1.81526	1.8972599	0.318824	2.44642	0.46375	1.192752	1.71763	1.93753	1.7037	2.65584	1.55543	1.1912804
AC078883.4	0	0	0	0	0	0	0	0.0450654	0	0	0	0
AC078899.1	0.085612	0.0377234	0.266151	0	0.0295431	0	0.0283247	0.103796	0.219197	0.0757742	0	0
AC078899.2	0	0	0	0	0	1.16122	0	0	0	0	0	0
AC078899.3	0	0.196451	0	0	0	0	0	0	0	0	0	0
AC078942.1	0	0	0	0.0412644	0	0	0.11221	0	0	0	0	0
AC078950.1	0	0	0	0	0	0	0	0	0	0	0.0194922	0
AC078993.1	0	0	0	0	1.78759	0	0	0	0	0	0	0
AC079112.1	0.0435199	0	0	0	0	0	0.0207395	0	0	0	0	0
AC079135.1	0	0	0	0	0	0	0.138033	0	0	0	0	0
AC079140.1	1.07021	6.30443	0	0	3.9444	3.19335	1.92435	0	2.66061	0	2.92223	2.4583
AC079199.2	0	0.669845	0	1.31036	0	0	0.618541	0	0	0.702961	0	0.720535
AC079248.1	0	0	0.0424409	0	0	0	0	0	0	0	0	0
AC079250.1	0	0	0	0.13397	0.0873885	0.125243	0.215087	0	0	0	0	0
AC079305.10	0.0451204	0.203609	0.56769	0.482583	0.519707	0.195781	0.218592	0	0.115963	0	0.172541	0.265699
AC079305.5	0	0	0	0	0	0	0.038469	0	0	0	0	0
AC079325.5	0	0.027525	0	0.0484734	0	0	0	0	0.0273815	0.0283739	0	0
AC079325.6	0	0	0.063447	0.113094	0.149117	0	0.156131	0.0628644	0.0666167	0.136477	0.194787	0
AC079354.3	0	0.0114027	0	0	0	0	0.00845046	0.0215514	0	0	0	0.0221647
AC079354.6	0	0	0	1.35555	0	0	0	0	0	0.724928	0	0
AC079355.1	0.0904835	0.40278	0	0	7.90635e-10	0.247655	0.517115	0.21564	0.063233	0	0	0.197448
AC079395.1	0	0	0	1.06823	0	0.537828	0	0	0	0	0	0
AC079398.1	0	0	0	0	0	0	0	0	1.13076	0	0	0
AC079448.1	0	0	0	0	0	0	0.104965	0	0	0	0	0
AC079466.1	0	0	0.0173279	0	0.00455044	0.00670012	0.00419097	0.0106712	0.0166253	0.0242935	0.00878015	0.0110072
AC079610.1	0	0	0	0	0.179291	0.135887	0.161108	0	0	0	0	0
AC079610.2	0.191087	0.308566	0.141079	0.342559	0.335435	0.457285	0.373572	0.217219	0.172422	0.403677	0.272763	0.306373
AC079612.1	0	0	0	0	0	0	0	0	0.00571895	0.00598999	0	0
AC079630.4	0.0157421	0	0.106659	0.0185523	0.0652261	0	0	0.0185929	0	0	0	0.0196006
AC079741.2	0	0	0	0	0	0.412045	0	0	0	0	0	0
AC079753.4	0.0565087	0	0.154686	0.0517209	0	0	0	0.0392362	0.0561729	0	0	0.690955
AC079776.2	0	0	0	0	0	0	0.0755772	0	0	0	0	0
AC079776.3	0.0259671	0.0159363	0.0317667	0	0.0123128	0.0183515	0	0.0444006	0.0156187	0	0.0490244	0.04567
AC079776.6	0	0.0389821	0	0	0	0	0.173574	0	0	0	0	0
AC079779.4	0	0	0	0	0	0	0.19042	0	0	0.0501824	0	0
AC079779.5	0.04849	0	0	0	0	0	0.157447	0	0	0	0	0
